beechnut,time
9.3095,13.6905
9.3095,13.706
9.3095,13.7242
9.3095,13.7399
9.3095,13.7572
9.3095,13.773
9.3095,13.7905
9.3095,13.8063
9.3095,13.823
9.3095,13.84
9.3095,13.8574
9.3095,13.8741
9.3095,13.8914
9.3095,13.9077
9.3095,13.9234
9.3095,13.9407
9.3095,13.9566
9.3095,13.9749
9.3095,13.9899
9.3095,14.0069
9.3095,14.0228
9.3095,14.0405
9.3095,14.0563
9.3095,14.0739
9.3095,14.0917
9.3095,14.1067
9.3095,14.1237
9.3095,14.1396
9.3095,14.157
9.3095,14.1733
9.3095,14.1904
9.3095,14.2078
9.3095,14.2228
9.3095,14.24
9.3095,14.2583
9.3095,14.2739
9.3095,14.2913
9.3095,14.3068
9.3095,14.3244
9.3095,14.3399
9.3095,14.3566
9.3095,14.3736
9.3095,14.3909
9.3095,14.4075
9.3095,14.4247
9.3095,14.4411
9.3095,14.4568
9.3095,14.4741
9.3095,14.4898
9.3095,14.5079
9.3095,14.523
9.3095,14.5404
9.3095,14.5562
9.3095,14.5733
9.3095,14.5903
9.3095,14.6079
9.3095,14.623
9.3095,14.6398
9.3095,14.6562
9.3095,14.674
9.3095,14.6917
9.3095,14.7072
9.3095,14.7231
9.3095,14.74
9.3095,14.7578
9.3095,14.7728
9.3095,14.792
9.3095,14.8074
9.3095,14.823
9.3095,14.8407
9.3095,14.8584
9.3095,14.8729
9.3095,14.8908
9.3095,14.9062
9.3095,14.9232
9.3095,14.9396
9.3095,14.9571
9.3095,14.9744
9.3095,14.9899
9.3095,15.0064
9.3095,15.0238
9.3095,15.0418
9.3095,15.0574
9.3095,15.0727
9.3095,15.0896
9.3095,15.1074
9.3095,15.1234
9.3095,15.1417
9.3095,15.1584
9.3095,15.1733
9.3095,15.1918
9.34169,15.2072
9.34169,15.2244
9.34169,15.2401
9.34169,15.258
9.34169,15.2731
9.34169,15.2904
9.34169,15.3062
9.34169,15.3232
9.34169,15.34
9.34169,15.3577
9.34169,15.3734
9.34169,15.3902
9.34169,15.4072
9.34169,15.423
9.34169,15.4401
9.34169,15.4564
9.34169,15.4736
9.34169,15.491
9.34169,15.5062
9.34169,15.5234
9.34169,15.5397
9.34169,15.557
9.34169,15.5747
9.34169,15.5904
9.34169,15.608
9.34169,15.6238
9.34169,15.6407
9.34169,15.6563
9.34169,15.6733
9.34169,15.6897
9.34169,15.7071
9.34169,15.723
9.34169,15.7412
9.34169,15.7562
9.34169,15.7738
9.34169,15.7897
9.34169,15.8067
9.34169,15.824
9.34169,15.84
9.34169,15.8567
9.34169,15.8737
9.34169,15.8911
9.34169,15.9065
9.34169,15.9231
9.34169,15.9412
9.34169,15.957
9.34169,15.9742
9.34169,15.99
9.34169,16.008
9.34169,16.0234
9.34169,16.0406
9.34169,16.0563
9.34169,16.0744
9.34169,16.0896
9.34169,16.107
9.34169,16.1244
9.34169,16.1397
9.34169,16.1568
9.34169,16.1748
9.34169,16.19
9.34169,16.207
9.34169,16.2233
9.34169,16.2407
9.34169,16.2566
9.34169,16.2742
9.34169,16.2913
9.34169,16.3067
9.34169,16.325
9.34169,16.3397
9.34169,16.3566
9.34169,16.3729
9.34169,16.3895
9.34169,16.4064
9.34169,16.4238
9.34169,16.4417
9.34169,16.4565
9.34169,16.4735
9.34169,16.4896
9.34169,16.5068
9.34169,16.5228
9.34169,16.54
9.34169,16.5574
9.34169,16.5751
9.34169,16.59
9.34169,16.608
9.34169,16.6233
9.34169,16.6404
9.34169,16.6564
9.34169,16.6739
9.34169,16.6896
9.34169,16.7064
9.34169,16.7252
9.34169,16.7404
9.34169,16.7567
9.34169,16.774
9.34169,16.7904
9.34169,16.8079
9.34169,16.8232
9.34169,16.8406
9.34169,16.8564
9.34169,16.8734
9.34169,16.8909
9.34169,16.9063
9.34169,16.9247
9.34169,16.9399
9.34169,16.9575
9.34169,16.9733
9.34169,16.9909
9.34169,17.0079
9.34169,17.0233
9.34169,17.0406
9.34169,17.0572
9.34169,17.0738
