miranda,time
26.1558,11.9162
26.1558,11.9321
26.1558,11.949
26.1558,11.9651
26.1558,11.9827
26.1558,11.9995
26.1558,12.016
26.1558,12.033
26.1558,12.0486
26.1558,12.0665
26.1558,12.0818
26.1558,12.1003
26.1558,12.1158
26.1558,12.1333
26.1558,12.1496
26.1558,12.1659
26.1558,12.1823
26.1558,12.1989
26.1558,12.2156
26.1558,12.2327
26.1558,12.25
26.1558,12.2657
26.1558,12.2837
26.1558,12.2984
26.1558,12.316
26.1558,12.3321
27.3112,12.3494
27.3112,12.3653
27.3112,12.3819
27.3112,12.3986
27.3112,12.4156
27.3112,12.4322
27.3112,12.4512
27.3112,12.4682
27.3112,12.4819
27.3112,12.5012
27.3112,12.5151
27.3112,12.534
27.3112,12.5486
27.3112,12.5663
27.3112,12.5821
27.3112,12.5989
27.3112,12.6153
27.3112,12.6332
27.3112,12.6497
27.3112,12.6683
27.3112,12.6847
27.3112,12.6997
27.3112,12.7156
27.3112,12.7318
27.3112,12.7494
27.3112,12.7652
27.3112,12.7824
27.3112,12.7984
27.3112,12.8153
27.3112,12.832
27.3112,12.8494
27.3112,12.8651
27.3112,12.8851
27.3112,12.8997
27.3112,12.9158
27.3112,12.9334
27.3112,12.9487
27.3112,12.9663
27.3112,12.9826
27.3112,12.9986
27.3112,13.0152
27.3112,13.0349
27.3112,13.0486
28.0905,13.0663
28.0905,13.0818
28.0905,13.1001
28.0905,13.1155
28.0905,13.1334
28.0905,13.1498
28.0905,13.1667
28.0905,13.1819
28.0905,13.2003
28.0905,13.2157
28.0905,13.2322
28.0905,13.2484
28.0905,13.2679
28.0905,13.2827
28.0905,13.3003
28.0905,13.3157
28.0905,13.3338
28.0905,13.3493
28.0905,13.3666
28.0905,13.3826
28.0905,13.3987
28.0905,13.4157
28.0905,13.4321
28.0905,13.4512
28.0905,13.4666
28.0905,13.4845
28.0905,13.5005
28.0905,13.5154
28.0905,13.5319
28.0905,13.5492
28.0905,13.5668
28.0905,13.5821
28.0905,13.5998
28.0905,13.6152
28.0905,13.6323
28.0905,13.6494
28.0905,13.6658
28.0905,13.6846
28.0905,13.699
28.0905,13.7172
28.0905,13.7321
29.1746,13.7489
29.1746,13.7653
29.1746,13.7839
29.1746,13.799
29.1746,13.8152
29.1746,13.8324
29.1746,13.8485
29.1746,13.8651
29.1746,13.8824
29.1746,13.8987
29.1746,13.9167
29.1746,13.9326
29.1746,13.9504
29.1746,13.9665
29.1746,13.9824
29.1746,14
29.1746,14.0158
29.1746,14.0343
29.1746,14.05
29.1746,14.0664
29.1746,14.0818
29.1746,14.1003
29.1746,14.1151
29.1746,14.1336
29.1746,14.1491
29.1746,14.1679
29.1746,14.1819
29.1746,14.1995
29.1746,14.2154
29.1746,14.2327
29.1746,14.2489
29.1746,14.2662
29.1746,14.2821
29.1746,14.3017
29.1746,14.3154
29.1746,14.3325
29.1746,14.3486
29.1746,14.3656
29.1746,14.3829
29.1746,14.3989
29.1746,14.4167
28.9015,14.4326
28.9015,14.4504
28.9015,14.467
28.9015,14.4827
28.9015,14.5015
28.9015,14.5159
28.9015,14.5344
28.9015,14.5491
28.9015,14.5654
28.9015,14.5991
28.9015,14.617
28.9015,14.634
28.9015,14.6498
28.9015,14.667
28.9015,14.6825
28.9015,14.6991
28.9015,14.716
28.9015,14.7324
28.9015,14.7496
28.9015,14.7667
28.9015,14.7829
28.9015,14.8004
28.9015,14.816
28.9015,14.8336
28.9015,14.8504
28.9015,14.8671
28.9015,14.8819
28.9015,14.8989
28.9015,14.9152
28.9015,14.9319
28.9015,14.9498
28.9015,14.9652
28.9015,14.9822
28.9015,15.0018
28.9015,15.0154
28.9015,15.0333
28.9015,15.0491
28.9015,15.0658
28.9015,15.0823
30.3283,15.0998
30.3283,15.1157
30.3283,15.1328
30.3283,15.1485
