flower,time
13.8892,5.53562
13.8892,5.55136
13.8892,5.56792
13.8892,5.58429
13.8892,5.60091
13.8892,5.61819
13.8892,5.63383
13.8892,5.6508
13.8892,5.66891
13.8892,5.68663
13.8892,5.7009
13.8892,5.71803
13.8892,5.73529
13.8892,5.75084
13.8892,5.76879
13.8892,5.78389
13.8892,5.80193
13.8892,5.81864
13.8892,5.83468
13.9521,5.85246
13.9521,5.8687
13.9521,5.88452
13.9521,5.90048
13.9521,5.91879
13.9521,5.93461
13.9521,5.95323
13.9521,5.96723
13.9521,5.98427
13.9521,6.00203
13.9521,6.01935
13.9521,6.03483
13.9521,6.05097
13.9521,6.06829
13.9521,6.08436
13.9521,6.10129
13.9521,6.11857
13.9521,6.1343
13.9521,6.15249
13.9521,6.16788
13.9521,6.18582
13.9521,6.20081
13.9521,6.21806
13.9521,6.23663
13.9521,6.25058
13.9521,6.26728
13.9521,6.28486
13.9521,6.30187
13.9521,6.31781
13.9521,6.3339
13.9521,6.3518
13.9521,6.36823
13.9521,6.3849
13.9521,6.40192
13.9521,6.41883
13.9521,6.43517
13.9521,6.4511
13.9521,6.46762
13.9521,6.48418
13.9521,6.50132
13.9521,6.51845
13.9521,6.5354
13.9521,6.55124
13.9521,6.56721
13.9521,6.58384
13.9521,6.60204
13.9521,6.61859
13.9521,6.63396
13.9521,6.65224
13.9521,6.67002
13.9521,6.68449
13.9521,6.70131
13.9521,6.7175
13.9521,6.73525
13.9521,6.75177
13.9521,6.76727
13.9521,6.78554
13.9521,6.80085
13.9521,6.81753
13.9521,6.83435
13.9521,6.85185
13.9521,6.86807
13.9521,6.88444
13.9521,6.90164
13.9521,6.91767
13.9521,6.93586
13.9521,6.9534
13.9521,6.96758
13.9521,6.98439
13.9521,7.0033
13.9521,7.01859
13.9521,7.03544
13.9521,7.05146
13.9521,7.06733
13.9521,7.08457
13.9521,7.10093
13.9521,7.11788
13.9521,7.13573
13.9521,7.15207
13.9521,7.16875
13.9521,7.18675
13.9521,7.20216
13.9521,7.21813
13.9521,7.23407
13.9521,7.25206
14.0883,7.26775
14.0883,7.28391
14.0883,7.30151
14.0883,7.31826
14.0883,7.33468
14.0883,7.35081
14.0883,7.36911
14.0883,7.38582
14.0883,7.40143
14.0883,7.41808
14.0883,7.43424
14.0883,7.45092
14.0883,7.46798
14.0883,7.48452
14.0883,7.5007
14.0883,7.52004
14.0883,7.53413
14.0883,7.55231
14.0883,7.56853
14.0883,7.58414
14.0883,7.60058
14.0883,7.61785
14.0883,7.63437
14.0883,7.65202
14.0883,7.66854
14.0883,7.68392
14.0883,7.70184
14.0883,7.71874
14.0883,7.73448
14.0883,7.75191
14.0883,7.76954
14.0883,7.78545
14.0883,7.80193
14.0883,7.81913
14.0883,7.83503
14.0883,7.85102
14.0883,7.86738
14.0883,7.88476
14.0883,7.90104
14.0883,7.91727
14.0883,7.93488
14.0883,7.95123
14.0883,7.96786
14.0883,7.98415
14.0883,8.00344
14.0883,8.02011
14.0883,8.03401
14.0883,8.05159
14.0883,8.06772
14.0883,8.08437
14.0883,8.10125
14.0883,8.1188
14.0883,8.13469
14.0883,8.15141
14.0883,8.16785
14.0883,8.18659
14.0883,8.20212
14.0883,8.21768
14.0883,8.23535
14.0883,8.25104
14.0883,8.26912
14.0883,8.28506
14.0883,8.30141
14.0883,8.31755
14.0883,8.33438
14.0883,8.35234
14.0883,8.36902
14.0883,8.38432
14.0883,8.401
14.0883,8.41737
14.0883,8.43533
14.0883,8.45057
14.0883,8.46772
14.0883,8.48661
14.0883,8.50249
14.0883,8.51942
14.0883,8.535
14.0883,8.55099
14.0883,8.56748
14.0883,8.58415
14.0883,8.60189
14.0883,8.61791
14.0883,8.63576
14.0883,8.65121
14.0883,8.66778
14.2487,8.68654
14.2487,8.70112
14.2487,8.7177
14.2487,8.73396
14.2487,8.75173
14.2487,8.76883
14.2487,8.78439
14.2487,8.80131
14.2487,8.81841
14.2487,8.8343
14.2487,8.85055
14.2487,8.86726
14.2487,8.88495
14.2487,8.9011
14.2487,8.9174
14.2487,8.93469
14.2487,8.95188
14.2487,8.9679
14.2487,8.98392
14.2487,9.0016
14.2487,9.01769
14.2487,9.03585
14.2487,9.05135
14.2487,9.06772
14.2487,9.08407
14.2487,9.10107
14.2487,9.11844
14.2487,9.13491
14.2487,9.1512
14.2487,9.16895
14.2487,9.18691
14.2487,9.20166
14.2487,9.21857
14.2487,9.23563
14.2487,9.25167
14.2487,9.26789
14.2487,9.2844
14.2487,9.30196
14.2487,9.3183
14.2487,9.3347
14.2487,9.35095
14.2487,9.36735
14.2487,9.38551
14.2487,9.40108
14.2487,9.41866
14.2487,9.43456
14.2487,9.45053
14.2487,9.46815
14.2487,9.48466
14.2487,9.50053
14.2487,9.51718
14.2487,9.5352
14.2487,9.55146
14.2487,9.56789
14.2487,9.58526
14.2487,9.6022
14.2487,9.61766
14.2487,9.63415
14.2487,9.65172
14.2487,9.66791
14.2487,9.68401
14.2487,9.7009
14.2487,9.71886
14.2487,9.73501
14.2487,9.75118
14.2487,9.7673
14.2487,9.78585
14.2487,9.80213
14.2487,9.81762
14.2487,9.83521
14.2487,9.85151
14.2487,9.86735
14.2487,9.88484
14.2487,9.90117
14.2487,9.91893
14.2487,9.93492
14.2487,9.95255
14.2487,9.96838
14.2487,9.98437
14.2487,10.0011
14.2487,10.0183
