richtmyer,time
23.6322,3.39885
23.6322,3.41583
23.6322,3.43075
23.6322,3.4479
23.6322,3.46513
24.1445,3.48118
24.1445,3.49805
24.1445,3.51418
24.1445,3.5323
24.1445,3.54777
24.1445,3.56557
24.1445,3.58225
24.1445,3.5979
24.1445,3.61589
24.1445,3.63137
24.1445,3.64754
24.1445,3.66422
24.1445,3.68097
24.1445,3.6987
24.1445,3.7144
24.1445,3.73178
24.1445,3.74878
24.1445,3.76564
24.1445,3.78238
24.1445,3.79847
24.1445,3.81527
24.1445,3.83208
24.1445,3.84928
24.1445,3.86628
24.1445,3.88092
24.1445,3.89796
24.1445,3.91418
24.1445,3.93165
24.1445,3.94844
24.1445,3.96414
24.1445,3.98247
24.1445,3.99775
24.1445,4.01539
24.1445,4.03208
24.1445,4.04799
24.1445,4.06563
24.1445,4.08114
24.1445,4.09843
24.1445,4.11513
24.1445,4.1323
24.1445,4.14893
24.1445,4.16511
24.1445,4.18233
24.1445,4.19892
24.1445,4.21411
24.1445,4.23294
24.1445,4.24743
24.1445,4.2666
24.1445,4.28198
24.4756,4.29829
24.4756,4.31529
24.4756,4.33088
24.4756,4.3488
24.4756,4.36401
24.4756,4.38196
24.4756,4.39811
24.4756,4.41406
24.4756,4.43161
24.4756,4.44804
24.4756,4.46431
24.4756,4.48104
24.4756,4.49812
24.4756,4.51467
24.4756,4.53149
24.4756,4.5482
24.4756,4.56515
24.4756,4.58128
24.4756,4.59802
24.4756,4.61413
24.4756,4.63167
24.4756,4.64969
24.4756,4.6651
24.4756,4.68119
24.4756,4.69775
24.4756,4.71528
24.4756,4.73097
24.4756,4.74848
24.4756,4.76484
24.4756,4.78158
24.4756,4.79792
24.4756,4.81458
24.4756,4.83111
24.4756,4.84841
24.4756,4.86411
24.4756,4.88085
24.4756,4.89794
24.4756,4.91537
24.4756,4.93136
24.4756,4.94834
24.4756,4.96457
24.4756,4.98257
24.4756,4.99897
24.4756,5.0146
24.4756,5.03171
24.4756,5.04822
24.4756,5.0651
24.4756,5.08173
24.4756,5.09738
24.7803,5.11473
24.7803,5.13193
24.7803,5.14757
24.7803,5.16592
24.7803,5.18333
24.7803,5.19741
24.7803,5.21505
24.7803,5.23154
24.7803,5.24816
24.7803,5.26485
24.7803,5.28138
24.7803,5.29738
24.7803,5.31596
24.7803,5.33105
24.7803,5.34874
24.7803,5.3651
24.7803,5.38193
24.7803,5.39842
24.7803,5.41439
24.7803,5.43312
24.7803,5.44766
24.7803,5.4653
24.7803,5.48111
24.7803,5.49831
24.7803,5.51454
24.7803,5.53089
24.7803,5.5495
24.7803,5.56601
24.7803,5.58124
24.7803,5.59776
24.7803,5.61405
24.7803,5.63313
24.7803,5.64779
24.7803,5.66576
24.7803,5.68168
24.7803,5.69769
24.7803,5.71482
24.7803,5.7307
24.7803,5.74886
24.7803,5.76502
24.7803,5.7818
24.7803,5.7984
24.7803,5.81421
24.7803,5.83267
24.7803,5.84741
24.7803,5.86517
24.7803,5.8812
25.1672,5.89798
25.1672,5.91444
25.1672,5.93081
25.1672,5.94914
25.1672,5.96634
25.1672,5.98165
25.1672,5.99977
25.1672,6.01625
25.1672,6.03251
25.1672,6.04777
25.1672,6.0649
25.1672,6.08092
25.1672,6.09886
25.1672,6.11422
25.1672,6.13131
25.1672,6.1475
25.1672,6.16436
25.1672,6.18179
25.1672,6.19868
25.1672,6.21425
25.1672,6.23193
25.1672,6.24759
25.1672,6.2642
25.1672,6.28067
25.1672,6.29824
25.1672,6.31413
25.1672,6.33227
25.1672,6.3477
25.1672,6.36627
25.1672,6.38236
25.1672,6.3977
25.1672,6.41656
25.1672,6.43308
25.1672,6.44854
25.1672,6.4662
25.1672,6.48311
25.1672,6.49907
25.1672,6.51451
25.1672,6.53288
25.1672,6.54924
25.1672,6.56415
25.1672,6.58155
25.1672,6.59814
25.1672,6.61443
25.1672,6.6309
25.1672,6.64815
25.1672,6.66494
25.7065,6.68218
25.7065,6.69798
25.7065,6.71482
25.7065,6.73103
25.7065,6.74737
25.7065,6.76458
25.7065,6.78119
25.7065,6.79813
25.7065,6.8158
25.7065,6.83188
25.7065,6.84785
25.7065,6.86446
25.7065,6.88122
25.7065,6.89764
